iter	RMSE
0	0.1195881106
1	0.1149899915
2	0.1106644295
3	0.1066342335
4	0.102992717
5	0.09959516522
6	0.09639944802
7	0.09344257385
8	0.09069266248
9	0.08816250384
10	0.08583253092
11	0.08367812184
12	0.08167607341
13	0.079839033
14	0.07815579083
15	0.07662205661
16	0.07522160079
17	0.07394853121
18	0.07277579435
19	0.07173053565
20	0.07076353087
21	0.06986491504
22	0.06906991583
23	0.06832594523
24	0.06765280105
25	0.0670536936
26	0.06649710907
27	0.06599870532
28	0.06554603192
29	0.06513429228
30	0.06476462819
31	0.06442186653
32	0.06411365045
33	0.06382364252
34	0.06357240743
35	0.06333693946
36	0.06313866611
37	0.0629463727
38	0.062779661
39	0.06261974914
40	0.06247126452
41	0.06234822585
42	0.06222984691
43	0.06211665211
44	0.06202602611
45	0.06193572197
46	0.06184787284
47	0.06176918906
48	0.06170066015
49	0.06163708259
50	0.06156453388
51	0.06150391698
52	0.06145060263
53	0.06140514874
54	0.0613572608
55	0.06131185909
56	0.06127154621
57	0.06122811693
58	0.06119127887
59	0.06115563146
60	0.0611212598
61	0.06108498285
62	0.06104801543
63	0.06101266189
64	0.06099758719
65	0.0609641294
66	0.06094040564
67	0.060910518
68	0.06088161221
69	0.06086017919
70	0.06083351228
71	0.06081316054
72	0.06079068152
73	0.06076992384
74	0.06075249613
75	0.06073654825
76	0.06072708383
77	0.06071204621
78	0.06069039725
79	0.06067469488
80	0.06065879764
81	0.06064123465
82	0.06062440452
83	0.06060951568
84	0.06060023887
85	0.06057952541
86	0.06056755998
87	0.06055834608
88	0.06054373393
89	0.06052459524
90	0.06051372422
91	0.06050116044
92	0.06049414353
93	0.06047829232
94	0.06046642041
95	0.0604566899
96	0.06044661481
97	0.06043774874
98	0.06042279621
99	0.06041555102
100	0.06039617845
101	0.06038387722
102	0.06036543307
103	0.06035125451
104	0.06033897921
105	0.06032944945
106	0.06032245347
107	0.06030943281
108	0.06029777655
109	0.06028496417
110	0.06027329354
111	0.06026299644
112	0.06025083811
113	0.06023710663
114	0.06022971261
115	0.06022458739
116	0.06021408144
117	0.06020548967
118	0.06019919814
119	0.06018625505
120	0.06017805566
121	0.06016908009
122	0.06015779108
123	0.06014591913
124	0.06013424611
125	0.06011944766
126	0.06011164311
127	0.06010275797
128	0.06009481862
129	0.06008669973
130	0.06007657384
131	0.06006773021
132	0.06005699794
133	0.06004711469
134	0.06004335288
135	0.06003630192
136	0.06002572873
137	0.06001705572
138	0.06000340736
139	0.05999798235
140	0.05998642111
141	0.05998179921
142	0.05997603749
143	0.05996775466
144	0.05995818298
145	0.0599491543
146	0.05994368384
147	0.05993898144
148	0.05993162861
149	0.0599241275
150	0.05991637018
151	0.05991268413
152	0.05990362025
153	0.05989179383
154	0.05988453337
155	0.05987839267
156	0.05987463793
157	0.05986249956
