iter	Passed	Remaining
411	3745	5345
412	3752	5334
413	3761	5324
414	3768	5312
415	3777	5302
416	3784	5291
417	3793	5281
418	3803	5274
419	3815	5269
420	3846	5290
421	3861	5288
422	3871	5280
423	3881	5272
424	3892	5266
425	3900	5256
426	3909	5246
427	3918	5236
428	3926	5226
429	3934	5215
430	3943	5206
431	3951	5194
432	3960	5185
433	3968	5176
434	3978	5167
435	3987	5157
436	3995	5148
437	4004	5137
438	4011	5126
439	4021	5118
440	4030	5108
441	4038	5098
442	4046	5087
443	4055	5078
444	4063	5068
445	4072	5058
446	4081	5049
447	4090	5040
448	4098	5029
449	4107	5020
450	4115	5009
451	4124	5000
452	4130	4988
453	4140	4979
454	4148	4968
455	4156	4958
456	4165	4948
457	4173	4939
458	4181	4928
459	4190	4919
460	4198	4908
461	4207	4899
462	4217	4891
463	4224	4879
464	4232	4869
465	4240	4858
466	4249	4850
467	4257	4839
468	4265	4829
469	4275	4821
470	4284	4811
471	4291	4800
472	4300	4791
473	4309	4782
474	4320	4775
475	4328	4765
476	4337	4755
477	4345	4745
478	4352	4734
479	4360	4724
480	4368	4713
481	4375	4702
482	4383	4691
483	4390	4681
484	4398	4670
485	4405	4659
486	4414	4650
487	4422	4639
488	4429	4629
489	4436	4617
490	4443	4606
491	4451	4595
492	4459	4586
493	4468	4577
494	4481	4571
495	4491	4563
496	4501	4556
497	4516	4552
498	4534	4552
499	4554	4554
500	4573	4555
501	4591	4555
502	4607	4552
503	4624	4550
504	4638	4546
505	4651	4541
506	4665	4536
507	4680	4533
508	4693	4527
509	4708	4523
510	4729	4525
511	4742	4520
512	4752	4511
513	4762	4503
514	4773	4495
515	4784	4488
516	4796	4480
517	4806	4472
518	4817	4464
519	4833	4461
520	4847	4456
521	4864	4454
522	4879	4450
523	4890	4442
524	4902	4435
525	4912	4426
526	4922	4418
527	4934	4411
528	4945	4403
529	4955	4394
530	4971	4391
531	4980	4381
532	4990	4372
533	4998	4362
534	5007	4352
535	5014	4340
536	5022	4330
537	5029	4318
538	5036	4307
539	5044	4296
540	5051	4285
541	5058	4274
542	5065	4263
543	5072	4252
544	5079	4240
545	5086	4229
546	5093	4218
547	5101	4207
548	5108	4196
549	5116	4186
550	5124	4175
551	5132	4165
552	5141	4155
553	5150	4146
554	5158	4136
555	5165	4124
556	5172	4114
557	5179	4103
558	5187	4092
559	5194	4081
560	5200	4069
561	5207	4058
562	5213	4047
563	5220	4036
564	5227	4024
565	5234	4013
566	5242	4003
567	5249	3992
568	5257	3982
569	5264	3971
570	5270	3959
571	5276	3948
572	5283	3937
573	5290	3926
574	5295	3914
575	5302	3903
576	5309	3892
577	5317	3882
578	5324	3871
579	5331	3860
580	5338	3850
581	5346	3840
582	5353	3829
583	5360	3818
584	5367	3807
585	5374	3797
586	5382	3786
587	5389	3776
588	5396	3765
589	5402	3754
590	5409	3743
591	5417	3733
592	5423	3722
593	5429	3711
594	5436	3700
595	5443	3690
596	5450	3679
597	5457	3668
598	5465	3658
599	5471	3647
600	5478	3637
601	5485	3626
602	5491	3615
603	5498	3605
604	5504	3594
605	5511	3583
606	5518	3573
607	5525	3562
608	5532	3551
609	5538	3540
610	5545	3530
611	5552	3519
612	5559	3509
613	5566	3499
614	5575	3490
615	5582	3479
616	5589	3469
617	5597	3459
618	5603	3449
619	5610	3438
620	5616	3427
621	5624	3417
622	5631	3407
623	5637	3397
624	5644	3386
625	5652	3377
626	5660	3367
627	5667	3357
628	5674	3346
629	5680	3336
630	5686	3325
631	5693	3315
632	5700	3305
633	5707	3294
634	5713	3284
635	5720	3274
636	5728	3264
637	5735	3254
638	5743	3244
639	5749	3234
640	5756	3223
641	5763	3213
642	5769	3203
643	5775	3192
644	5782	3182
645	5789	3172
646	5796	3162
647	5802	3152
648	5809	3142
649	5817	3132
650	5824	3122
651	5831	3112
652	5838	3102
653	5846	3092
654	5852	3082
655	5859	3072
656	5866	3062
657	5873	3052
658	5879	3042
659	5885	3031
660	5891	3021
661	5898	3011
662	5905	3001
663	5912	2991
664	5918	2981
665	5925	2971
666	5931	2961
667	5939	2952
668	5947	2942
669	5954	2932
670	5961	2922
671	5967	2912
672	5974	2903
673	5981	2893
674	5989	2883
675	5996	2874
676	6004	2864
677	6011	2855
678	6018	2845
679	6024	2835
680	6031	2825
681	6037	2815
682	6044	2805
683	6050	2795
684	6057	2785
685	6064	2775
686	6071	2766
687	6078	2756
688	6085	2746
689	6091	2736
690	6099	2727
691	6107	2718
692	6115	2708
693	6122	2699
694	6128	2689
695	6134	2679
696	6142	2670
697	6150	2661
698	6157	2651
699	6164	2641
700	6171	2632
701	6178	2622
702	6185	2613
703	6191	2603
704	6197	2593
705	6204	2583
706	6210	2573
707	6218	2564
708	6227	2555
709	6238	2548
710	6254	2542
711	6268	2535
712	6281	2528
713	6291	2520
714	6307	2513
715	6325	2508
716	6339	2502
717	6353	2495
718	6369	2489
719	6386	2483
720	6403	2477
721	6417	2471
722	6449	2471
723	6506	2480
724	6520	2473
725	6532	2465
726	6543	2457
727	6552	2448
728	6565	2440
729	6579	2433
730	6589	2425
731	6599	2416
732	6609	2407
733	6618	2398
734	6626	2389
735	6634	2379
736	6643	2370
737	6651	2361
738	6661	2352
739	6670	2343
740	6679	2334
741	6687	2325
742	6697	2316
743	6705	2307
744	6713	2297
745	6722	2288
746	6730	2279
747	6739	2270
748	6749	2261
749	6760	2253
750	6769	2244
751	6779	2235
752	6788	2226
753	6796	2217
754	6805	2208
755	6813	2199
756	6822	2190
757	6830	2180
758	6839	2171
759	6847	2162
760	6857	2153
761	6866	2144
